Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Price_in_taka,Location,price
View This 1680 Sq Ft Ready Flat For Sale In Khilkhet,3.0,3.0,6,vacant,1680.0,dhaka,"৳8,400,000","Dorji Bari Road, Khilkhet",8400000.0
"A Perfect Flat Of 1000 Sq Ft For Living With Family Is Available For Sale At Janata Housing, Mirpur",3.0,2.0,3,vacant,1000.0,dhaka,"৳6,500,000","Section 1, Mirpur",6500000.0
1100 Sq Ft Residential Apartment For Sale In Mirpur 10,3.0,3.0,2,vacant,1100.0,dhaka,"৳6,700,000","Section 10, Mirpur",6700000.0
1400 Sq Ft Residential Flat For Sale In Mirpur-10,3.0,3.0,2,vacant,1400.0,dhaka,"৳9,200,000","Section 10, Mirpur",9200000.0
"950 Sq Ft Flat For Sale In East Rampura, Tv Road",3.0,2.0,,vacant,950.0,dhaka,"৳7,000,000","East Rampura, Rampura",7000000.0
Lovely Apartment Of 950 Sq Ft Is Up For Sale In East Rampura,2.0,2.0,4,vacant,950.0,dhaka,"৳6,700,000","East Rampura, Rampura",6700000.0
1150 Sq Feet Flat For Sale Close To Darussalam Government Primary School,3.0,3.0,2,vacant,1150.0,dhaka,"৳5,750,000","Darussalam, Mirpur",5750000.0
1350 Sq Ft Flat Is Ready To Sale In Mirpur-10,3.0,3.0,1,vacant,1350.0,dhaka,"৳10,150,000","Section 10, Mirpur",10150000.0
"Picture Yourself, Residing In This Well Constructed And Planned 850 Sq Ft Flat In Mirpur For Sale",2.0,2.0,5,vacant,850.0,dhaka,"৳4,000,000","West Kazipara, Mirpur",4000000.0
"1120 Sq Ft Flat For Family, Is Ready For Sale At Mirpur",3.0,3.0,1,vacant,1120.0,dhaka,"৳5,600,000","Section 2, Mirpur",5600000.0
1100 Sq Ft Flat For Sale In Mirpur Section 6,3.0,3.0,5,vacant,1100.0,dhaka,"৳8,000,000","Section 6, Mirpur",8000000.0
View This Cozy 1100 Square Feet Apartment For Sale In Manikdi,3.0,2.0,3,vacant,1100.0,dhaka,"৳4,950,000","Manikdi, Cantonment",4950000.0
"Lead Your Life In This 1450 Sq Ft Flat Up For Sale In Badda, Khilbari Tek",3.0,3.0,2,vacant,1450.0,dhaka,"৳10,150,000","Khilbari Tek, Badda",10150000.0
Banasree Is Offering You A 1940 Sq Ft Apartment Ready For Sale,4.0,4.0,9,vacant,1940.0,dhaka,"৳13,968,000","Block J, Banasree",13968000.0
Buy This 1350 Sq Ft Apartment Available In Uttar Badda,3.0,3.0,3,vacant,1350.0,dhaka,"৳8,000,000","Uttar Badda, Badda",8000000.0
"1322 Sq Ft Nicely Planned Apartment Is Available For Sale In Shahjadpur, Badda",3.0,3.0,4,vacant,1322.0,dhaka,"৳9,000,000","Shahjadpur, Badda",9000000.0
"1635 Sq Ft Apartment Is Ready For Sale In Aftab Nagar, Block G",4.0,3.0,1,vacant,1635.0,dhaka,"৳10,627,500","Block G, Aftab Nagar",10627500.0
"1850 Sq Ft Apartment Is Ready For Sale In Aftab Nagar, Block E, Sector 1",3.0,3.0,2,vacant,1850.0,dhaka,"৳14,800,000","Block E, Aftab Nagar",14800000.0
"Pick This 1325 Sq Ft Apartment For Sale In Aftab Nagar, Block F",3.0,3.0,1,vacant,1325.0,dhaka,"৳9,275,000","Block F, Aftab Nagar",9275000.0
"Buy This 1220 Sq Ft Flat In Taltola, Khilgaon",3.0,3.0,5,vacant,1220.0,dhaka,"৳9,500,000","Taltola, Khilgaon",9500000.0
"To Live A Secure Life You Can Take This 1275 Sq Ft Flat For Sale At Kallyanpur, Mirpur",3.0,3.0,8,vacant,1275.0,dhaka,"৳8,600,000","Kallyanpur, Mirpur",8600000.0
"1570 Sq Ft Convenient Apartment Is Here Ready For Sale In Shah Ali Bag, Mirpur",4.0,4.0,7,vacant,1570.0,dhaka,"৳12,500,000","Section 1, Mirpur",12500000.0
We Are Offering A Reasonably Priced Flat For Sale Which Is Featuring 800 Sq Ft Space In Baitul Aman Housing Society,2.0,2.0,6,vacant,800.0,dhaka,"৳5,600,000","Baitul Aman Housing Society, Adabor",5600000.0
"Get This 950 Sq Ft Flat For Sale In Kazipara, Mirpur",2.0,2.0,8,vacant,950.0,dhaka,"৳6,100,000","East Kazipara, Mirpur",6100000.0
"Checkout This 1000 Sq Ft Flat Set To Sale In Mirpur, East Kazipara",2.0,2.0,8,vacant,1000.0,dhaka,"৳6,500,000","East Kazipara, Mirpur",6500000.0
"Deal With This 975 Sq Ft Flat Up For Sale In Kazipara, Mirpur",2.0,2.0,6,vacant,975.0,dhaka,"৳6,300,000","East Kazipara, Mirpur",6300000.0
"Visit This 1000 Sq Ft Flat, Which Is Up For Sale In Mirpur, East Kazipara",2.0,2.0,6,vacant,1000.0,dhaka,"৳6,500,000","East Kazipara, Mirpur",6500000.0
"Look At This Nice 980 Sq Ft Flat Is Up For Sale At Section 10, Mirpur",2.0,2.0,3,vacant,980.0,dhaka,"৳5,500,000","Section 10, Mirpur",5500000.0
"Pursue This 975 Sq Ft Flat Up For Sale In East Kazipara, Mirpur",2.0,2.0,3,vacant,975.0,dhaka,"৳6,337,500","East Kazipara, Mirpur",6337500.0
"1285 Sq Ft Apartment With 3 Bedrooms For Sale In Banasree, Block D",3.0,3.0,2,vacant,1285.0,dhaka,"৳11,000,000","Block D, Banasree",11000000.0
"1400 Sq Ft Apartment For Sale In Ak Fazlul Haque Babu Rd, East Kazipara, Mirpur",3.0,3.0,4,vacant,1400.0,dhaka,"৳6,300,000","East Kazipara, Mirpur",6300000.0
"Make this 1310 SQ FT flat your next residing location, which is up for sale in Mirpur",3.0,3.0,7,vacant,1310.0,dhaka,"৳9,200,000","Kallyanpur, Mirpur",9200000.0
Graceful Flat Of 850 Sq Ft Is Prepared For Sale In Pallabi Eastern Housing.,2.0,2.0,5,vacant,850.0,dhaka,"৳2,500,000","Pallabi, Mirpur",2500000.0
A Modern Well-planned Flat Of 1256 Sq Ft Is Up For Sale Is Situated In Aftab Nagar,3.0,2.0,5,vacant,1256.0,dhaka,"৳6,500,000","Block H, Aftab Nagar",6500000.0
We Have A 1200 Sq.Ft -3 Bedroom Flat For Sale In Uttar Badda Nearby AMZ Hospital Ltd.,3.0,3.0,9,vacant,1200.0,dhaka,"৳6,050,000","Uttar Badda, Badda",6050000.0
Comfortable And Nicely Planned 1530 Sq Ft Flat In Shegunbagicha For Sale,3.0,3.0,9,vacant,1530.0,dhaka,"৳15,500,000","Topkhana Road, Shegunbagicha",15500000.0
"This 650 Sq Ft Apartment For Sale In Mirpur Section 12, Next To Doctor Muhammad Shahidullah Adarsha Uchcha Madhyamik Bidyapith.",2.0,2.0,4,vacant,650.0,dhaka,"৳4,600,000","Section 12, Mirpur",4600000.0
1316 Sq Ft Fine Flat Is Now For Sale Which Is In Bashundhara R/a Near To Iub,3.0,4.0,3,vacant,1316.0,dhaka,"৳13,500,000","Block C, Bashundhara R-A",13500000.0
1207 SQ FT flat is now for sale in Badda near to Southeast Bank,3.0,3.0,6,vacant,1207.0,dhaka,"৳12,870,000","Shahjadpur, Badda",12870000.0
A Fine Flat Is Now For Sale Which Is In Agargaon Near Agargaon Taltola Colony High School &amp; Womens&#039; College,3.0,3.0,5,vacant,1400.0,dhaka,"৳6,500,000",Agargaon,6500000.0
An Apartment Is Up For Sale In Kallyanpur.,3.0,3.0,4,vacant,1430.0,dhaka,"৳8,580,000","Kallyanpur, Mirpur",8580000.0
Flat For Sale In Arambag R/a Near Al Arabia Jame Masjid And Madrasa,3.0,3.0,8,vacant,1310.0,dhaka,"৳7,205,000","Arambag Residential Area, Mirpur",7205000.0
Check this apartment for sale at Mirpur near Shahidbag Masjid,2.0,2.0,5,vacant,650.0,dhaka,"৳2,200,000","Section 12, Mirpur",2200000.0
"850 Sq Ft Flat For Sale In Taltola, Khilgaon",2.0,2.0,2,vacant,850.0,dhaka,"৳5,500,000","Taltola, Khilgaon",5500000.0
Reasonable 1600 Sq Ft Flat Is Available For Sale In Badda Near To Badda Post Office,4.0,3.0,4,vacant,1600.0,dhaka,"৳12,000,000","Middle Badda, Badda",12000000.0
1375 Sq. Ft. flat is now up for sale located in Mirpur DOHS,3.0,3.0,1,vacant,1375.0,dhaka,"৳12,000,000","Mirpur DOHS, Mirpur",12000000.0
"A Nicely Build 1050 Sq Ft Apartment Is Vacant For Sale In Mirpur, Turag City",2.0,2.0,1,vacant,1050.0,dhaka,"৳5,500,000","Section 1, Mirpur",5500000.0
650 Sq. Ft. Residential Apartment Is On Sale In Mirpur Near Pallabi Police Station,2.0,2.0,5,vacant,650.0,dhaka,"৳2,200,000","Section 12, Mirpur",2200000.0
Are you in hurry? No worries! You Can Take This 1250 Sq Ft Flat for Sale in East Shewrapara,3.0,3.0,4,vacant,1250.0,dhaka,"৳9,000,000","East Shewrapara, Mirpur",9000000.0
Buy This 1250 Square Feet Apartment In Baitul Aman Housing Society,3.0,3.0,6,vacant,1250.0,dhaka,"৳15,000,000","Baitul Aman Housing Society, Adabor",15000000.0
"A Rightly Planned 1350 Sq Ft Flat Is Found For Sale In East Hazipara, East Rampura",3.0,3.0,2,vacant,1350.0,dhaka,"৳11,000,000","East Rampura, Rampura",11000000.0
"Dwell In This 1350 Sq Ft Flat Up For Sale In Mohammadpur, Katashur",3.0,3.0,9,vacant,1350.0,dhaka,"৳9,000,000","Katashur, Mohammadpur",9000000.0
This 1250 Sq Ft Well Defined Flat Is Now Vacant To Sale In Pirerbag,3.0,3.0,8,vacant,1250.0,dhaka,"৳7,000,000","Pirerbag, Mirpur",7000000.0
Best Location Mirpur | Spacious And Bright 3 Bedroom 1100 Sq Ft Apt. | For Sale,3.0,3.0,5,vacant,1100.0,dhaka,"৳6,100,000","Ahmed Nagar, Mirpur",6100000.0
Promising Under-construction 1100 Sq Ft Apartment For Sale In Mirpur,3.0,3.0,4,vacant,1100.0,dhaka,"৳6,100,000","Ahmed Nagar, Mirpur",6100000.0
"1900 Sq Ft Apartment Is Ready For Sale In Adabor, Dhaka Housing Main Road",3.0,4.0,9,vacant,1900.0,dhaka,"৳12,350,000","Dhaka Housing Main Road, Adabor",12350000.0
Visit 1308 Sq Ft Residential Flat For Sale In Mirpur,3.0,3.0,1,vacant,1308.0,dhaka,"৳6,600,000","Section 2, Mirpur",6600000.0
Here Is A Well Defined Flat Of 780 Sq Ft Waiting For Sale At Rupnagar R/A,2.0,2.0,1,vacant,780.0,dhaka,"৳4,000,000","Rupnagar R/A, Mirpur",4000000.0
1515 Sq Ft Residential Apartment For Sale In Banasree Block G,3.0,4.0,9,vacant,1515.0,dhaka,"৳12,877,500","Block G, Banasree",12877500.0
Offering You A 1370 Sq Ft Flat For Sale In Mirpur-2,3.0,3.0,1,vacant,1370.0,dhaka,"৳8,500,000","Section 2, Mirpur",8500000.0
"1260 Square Feet Flat Is Available For Sale In Bashundhara R-a, Block K",3.0,3.0,5,vacant,1260.0,dhaka,"৳10,710,000","Block K, Bashundhara R-A",10710000.0
"Grab This 1500 Square Feet Flat Available For Sale In Bashundhara R-a, Block K",3.0,3.0,3,vacant,1500.0,dhaka,"৳12,750,000","Block K, Bashundhara R-A",12750000.0
Offering You A 1070 Sq Ft Flat For Sale In Mohammadi Housing LTD,3.0,3.0,6,vacant,1070.0,dhaka,"৳7,490,000","Mohammadi Housing LTD., Mohammadpur",7490000.0
A 970 Sq.Ft Apartment For sale Is All Set For You In East Bashabo Close To Agrani Bank Limited,3.0,2.0,6,vacant,970.0,dhaka,"৳5,000,000","East Bashabo, Bashabo",5000000.0
Ready To Move in Dakshin Khan | 1475 SFT 3 bedroom Apt. | Well Maintained,3.0,3.0,9,vacant,1475.0,dhaka,"৳8,850,000","South Mollartek, Dakshin Khan",8850000.0
There Is 3 Bedroom Apartment Up For Sale In The Location Of Adabor Near Baitul Aman Housing Society Jame Mosque.,3.0,2.0,1,vacant,900.0,dhaka,"৳4,000,000","Baitul Aman Housing Society, Adabor",4000000.0
1260 Sft Well Maintained Apartment For Sale At Mirpur Dhaka,3.0,3.0,4,vacant,1260.0,dhaka,"৳8,000,000","Middle Monipur, Mirpur",8000000.0
"1596 Sq Ft 3 Bed Apt. Is Available To Sale In Khilgaon, Dhaka",3.0,3.0,1,vacant,1596.0,dhaka,"৳10,374,000","Riazbag, Khilgaon",10374000.0
Residential Apartment For Sale in Aftab Nagar | 1350 SFT Apt. | Well Maintained,3.0,3.0,2,vacant,1350.0,dhaka,"৳10,800,000","Block M, Aftab Nagar",10800000.0
"1657 Square Feet Residential Flat With 3 Bedrooms For Sale In Uttara, Sector 18",3.0,3.0,2,vacant,1657.0,dhaka,"৳10,500,000","Sector 18, Uttara",10500000.0
980 Sq Ft Apartment Is Ready For Sale At Uttar Badda,2.0,2.0,2,vacant,980.0,dhaka,"৳4,500,000","Uttar Badda, Badda",4500000.0
Offering You A 1370 Sq Ft Flat For Sale In Uttar Badda,3.0,3.0,2,vacant,1370.0,dhaka,"৳7,800,000","Uttar Badda, Badda",7800000.0
"1420 Sqft Residential Speace Is For Sale, 1st Colony, Mazar Road , Mirpur-1",3.0,3.0,2,vacant,1420.0,dhaka,"৳10,500,000","1st Colony, Mirpur",10500000.0
Plan To Move In This 1599 Sq Ft Flat Which Is For Sale In Shahidbag,3.0,3.0,3,vacant,1599.0,dhaka,"৳15,990,000","Shahidbag, Malibagh",15990000.0
Offering You 2100 Sq Ft Flat For Sale In Pirerbag,8.0,6.0,3,vacant,2100.0,dhaka,"৳5,460,000","Pirerbag, Mirpur",5460000.0
Well Planned 1348 Sq Ft Flat For Sale In Aftab Nagar,3.0,3.0,1,vacant,1348.0,dhaka,"৳11,200,000","Block H, Aftab Nagar",11200000.0
"A Nice Flat Of 1445 Sq Ft Is Ready For Sale In Kachukhet , Near Muslim Modern College",3.0,3.0,2,vacant,1445.0,dhaka,"৳6,936,000","Muslim Modern College Road, Kachukhet",6936000.0
Visit This Apartment For Sale In West Shewrapara Near Baitun Noor Jame Masjid,3.0,3.0,4,vacant,1200.0,dhaka,"৳5,000,000","West Shewrapara, Mirpur",5000000.0
"A Comfortably Planned Flat of 1,150 Sq. Ft. is up for Sale Now In Agargaon",3.0,2.0,8,vacant,1150.0,dhaka,"৳6,325,000","Kutum Goli, Agargaon",6325000.0
In Agargaon 1150 SQ FT flat is available for sale which is now close to Momtaz Mansion Jame Masjid,3.0,2.0,3,vacant,1150.0,dhaka,"৳6,325,000","Kutum Goli, Agargaon",6325000.0
1050 Sq.Ft And 3 Bedroom Apartment For Sale In Ibrahimpur Near Ibrahimpur Central Jame Masjid,3.0,3.0,1,vacant,1050.0,dhaka,"৳3,750,000","Srjani road, Ibrahimpur",3750000.0
"At Joar Sahara, flat for Sale close to DBBL ATM",3.0,2.0,1,vacant,1200.0,dhaka,"৳5,500,000","Lichu Bagan Road, Joar Sahara",5500000.0
Visit This Apartment For Sale In Kallyanpur Near Kallyanpur Kazi Office.,4.0,3.0,1,vacant,1650.0,dhaka,"৳10,000,000","Kallyanpur, Mirpur",10000000.0
A Shop Is Up For Sale In Middle Badda Near IFIC Bank Limited.,,,,vacant,89.0,dhaka,"৳3,000,000","Middle Badda, Badda",3000000.0
An Apartment Up For Sale At Pallabi Near To Pallabi Jhil Jame Mashjid,3.0,3.0,6,vacant,1850.0,dhaka,"৳9,800,000","Pallabi, Mirpur",9800000.0
A 1420 Sq. Ft Brand New Apartment Which Is Up For Sale At Pallabi Near To Popular Hospital.,3.0,3.0,2,vacant,1420.0,dhaka,"৳8,200,000","Pallabi, Mirpur",8200000.0
Welcome You A Cozy Apartment Placed In Mirpur Near Eastern Housing,2.0,2.0,4,vacant,850.0,dhaka,"৳3,300,000","Pallabi, Mirpur",3300000.0
Beautiful And Well-constructed Flat Is Ready For Sale At Shahjadpur Nearby Shahjadpur Model Government Primary School,3.0,3.0,7,vacant,1475.0,dhaka,"৳15,550,000","Shahjadpur, Badda",15550000.0
Impressive Flat Of 1375 Sq Ft Is Up For Sale In Shahjadpur Near Eidgah Mosque,3.0,3.0,4,vacant,1375.0,dhaka,"৳14,550,000","Shahjadpur, Badda",14550000.0
Get Comfortable In A Flat For Sale In Paikpara Nearby Paikpara Jame Mosjid,3.0,2.0,1,vacant,1050.0,dhaka,"৳4,410,000","Paikpara, Mirpur",4410000.0
"Create Your New Home In A Flat For Sale In Mirpur, Near Pallabi Mohila Degree College",2.0,2.0,2,vacant,905.0,dhaka,"৳4,072,500","Section 12, Mirpur",4072500.0
We Have A Ready Flat For Sale In Mirpur Nearby Mirpur Adhunik Hospital,2.0,2.0,2,vacant,850.0,dhaka,"৳3,825,000","Section 12, Mirpur",3825000.0
Get Comfortable In A Flat For Sale In Faydabad Nearby Faidabad Central Eidgah Maidan,2.0,2.0,2,vacant,600.0,dhaka,"৳2,880,000","Faydabad, Dakshin Khan",2880000.0
1422 Sq Ft Residential Space Is For Sale At Badda,3.0,3.0,1,vacant,1422.0,dhaka,"৳9,811,800","Jagannathpur, Badda",9811800.0
Your Desired 3-Bedroom Home In Uttar Badda Very Near To Sadhinata Sarani Ideal School Is Now Vacant For Sale,3.0,2.0,6,vacant,1200.0,dhaka,"৳6,050,000","Uttar Badda, Badda",6050000.0
A Well Planned Apartment For Sale In Ashulia Near Baitul Aman Mosjid,3.0,3.0,3,vacant,1470.0,dhaka,"৳7,800,000","Ashulia, Savar",7800000.0
Well Structured Flat for Sale in Badda close to Sahaba Jame Mosjid,3.0,3.0,8,vacant,1396.0,dhaka,"৳9,674,000","Merul Badda, Badda",9674000.0
Cozy Apartment Is Up For Sale In Mirpur- 12 Nearby Agrani Bank Limited,3.0,3.0,5,vacant,1100.0,dhaka,"৳6,200,000","Section 12, Mirpur",6200000.0
"Prominent Location And Splendid Outlook, This Open Floor Is Up For Sale In Mirpur Near To Life Aid Specialized Hospital Pvt. Ltd.",,,2,vacant,1700.0,dhaka,"৳11,600,000","East Monipur, Mirpur",11600000.0
"Grab This 1360 Sq Ft Apartment For Sale In Pallabi, Mirpur",3.0,3.0,3,vacant,1360.0,dhaka,"৳13,900,000","Pallabi, Mirpur",13900000.0
"This Comfy Flat Is Vacant Right Now For Sale In East Kazipara, Which Is 1360 Sq Ft",3.0,3.0,1,vacant,1360.0,dhaka,"৳8,000,000","East Kazipara, Mirpur",8000000.0
"Have A Look At This 1100 Sq Ft Property Which Is Up For Sale Located At Section 12, Mirpur",3.0,3.0,9,vacant,1100.0,dhaka,"৳6,500,000","Section 12, Mirpur",6500000.0
"Get Comfortable In A 930 Sq Ft Nice Flat For Sale In Middle Monipur, Mirpur",2.0,2.0,7,vacant,930.0,dhaka,"৳5,500,000","Middle Monipur, Mirpur",5500000.0
"A Comfortable 1238 Sq Ft Flat Is Here For Sale In Lake Circus Road, Kalabagan",3.0,3.0,1,vacant,1238.0,dhaka,"৳11,000,000","Lake Circus Road, Kalabagan",11000000.0
"Check This Fine Looking Flat Of 1700 Sq Ft Offered For Sale In Block F, Banasree",3.0,3.0,3,vacant,1700.0,dhaka,"৳15,000,000","Block F, Banasree",15000000.0
Buy This 1120 Sq Ft Apartment In The Flourishing Settlement Of Kallyanpur,3.0,3.0,7,vacant,1120.0,dhaka,"৳6,000,000","Kallyanpur, Mirpur",6000000.0
"Let Us Assist You To Buy This 1150 Sq Ft Apartment Mirpur, Kallyanpur",3.0,3.0,1,vacant,1150.0,dhaka,"৳6,000,000","Kallyanpur, Mirpur",6000000.0
"We Are Presenting You With This 1200 Sq Ft Apartment For Sale In North Pirerbag, Mirpur",3.0,3.0,6,vacant,1200.0,dhaka,"৳6,000,000","Pirerbag, Mirpur",6000000.0
"Grab This 1635 Sq Ft Beautiful Apartment For Sale In Ahmed Nagar, Paikpara",3.0,4.0,5,vacant,1635.0,dhaka,"৳9,000,000","Ahmed Nagar, Mirpur",9000000.0
We Are Offering To You This 1445 Sq Ft Lovely Flat For Sale In Banasree,3.0,3.0,4,vacant,1445.0,dhaka,"৳13,000,000","Block B, Banasree",13000000.0
"Available At Bashundhara R-A, Block L A 1550 Square Feet And 3 Bedroom Residential Apartment For Sale.",3.0,3.0,1,vacant,1550.0,dhaka,"৳12,000,000","Block L, Bashundhara R-A",12000000.0
Covering 975 Sq Ft Space A Flat Is Up For Sale In Bochila,3.0,2.0,9,vacant,975.0,dhaka,"৳4,000,000","Bochila, Mohammadpur",4000000.0
"Offering You A 1250 Sq Ft Nice Flat For Sale In Nobodoy Housing Society, Mohammadpur",3.0,3.0,8,vacant,1250.0,dhaka,"৳7,500,000","Nobodoy Housing Society, Mohammadpur",7500000.0
1600 Sq Ft Apartment With 3 Bedrooms For Sale In Aftab Nagar,3.0,3.0,8,vacant,1600.0,dhaka,"৳14,400,000","Block C, Aftab Nagar",14400000.0
"Choose This 1550 Sq Ft Apartment Ready For Sale In Aftab Nagar, Block A",3.0,3.0,7,vacant,1550.0,dhaka,"৳11,500,000","Block A, Aftab Nagar",11500000.0
Buy This Amazing 1150 Square Feet Apartment In Mirpur,3.0,3.0,6,vacant,1150.0,dhaka,"৳6,000,000","West Shewrapara, Mirpur",6000000.0
"Buy This 600 Square Feet Apartment In Mirpur, West Shewrapara",2.0,1.0,4,vacant,600.0,dhaka,"৳2,000,000","West Shewrapara, Mirpur",2000000.0
"Start a new home, in this 1050 SQ FT apartment for sale in Dakkhin Paikpara",3.0,2.0,3,vacant,1050.0,dhaka,"৳4,500,000","Paikpara, Mirpur",4500000.0
This Small 550 Square Feet Commercial Floor For Sale Very Close To Kuril Kazibari Jame Mosjid,,,1,vacant,550.0,dhaka,"৳8,000,000","Pragati Soroni, Kuril",8000000.0
Let Us Assist You To Buy This 1300 Sq Ft Flat For The Relaxing Life You Desire To Have In The Area Of Mirpur,3.0,3.0,1,vacant,1300.0,dhaka,"৳6,500,000","Dakkhin Paikpara, Mirpur",6500000.0
"At Uttar Khan, 1335 Sq Ft Flat Is Available For Sale",3.0,3.0,4,vacant,1335.0,dhaka,"৳6,007,500","Puran Para, Uttar Khan",6007500.0
"1186 Square Feet And 3 Bedroom Residential Apartment For Sale At Puran Para, Uttar Khan .",3.0,3.0,5,vacant,1186.0,dhaka,"৳5,337,000","Puran Para, Uttar Khan",5337000.0
Wonderful 895 SQ FT home is available for sale in Agargaon,2.0,2.0,7,vacant,895.0,dhaka,"৳5,500,000","West Agargaon, Agargaon",5500000.0
Affordableble 765 Sq Ft Apartment Is Up For Sale In West Agargaon,2.0,2.0,3,vacant,765.0,dhaka,"৳5,207,500","West Agargaon, Agargaon",5207500.0
"An Adequate Residence Is up For Sale In Section 11, Mirpur With Satisfactory Price",2.0,2.0,2,vacant,750.0,dhaka,"৳4,000,000","Section 11, Mirpur",4000000.0
"750 Sq Ft Apartment Is Available For Sale At Section 11, Mirpur",2.0,2.0,2,vacant,750.0,dhaka,"৳4,000,000","Section 11, Mirpur",4000000.0
In Mirpur this flat is up for sale which is 930 SQ FT,3.0,3.0,4,vacant,930.0,dhaka,"৳3,900,000","2nd Colony, Mirpur",3900000.0
An Amazing 1542 Sq.ft -3 Bedroom Apartment Is Up For Sale In Shah Ali Bag .,3.0,3.0,7,vacant,1542.0,dhaka,"৳8,500,000","Section 1, Mirpur",8500000.0
Evaluate This 650 Square Feet Apartment For Sale In Mirpur,2.0,2.0,5,vacant,650.0,dhaka,"৳2,400,000","Section 11, Mirpur",2400000.0
"Buy This Nice Flat Of 1250 Sq Ft, Which Is Located At Darussalam, Mirpur",3.0,3.0,8,vacant,1250.0,dhaka,"৳6,250,000","Darussalam, Mirpur",6250000.0
"Obtain This Well Fitted Flat Of 1250 Sq Ft Which Is Up For Sale In Darussalam, Mirpur",3.0,2.0,4,vacant,1250.0,dhaka,"৳6,250,000","Darussalam, Mirpur",6250000.0
"See This 3 Bedroom Smartly Priced Apartment Which Is Up For Sale In North Ibrahimpur, That You Should Check.",3.0,3.0,3,vacant,1600.0,dhaka,"৳9,500,000","North Ibrahimpur, Ibrahimpur",9500000.0
1275 Sq.Ft. Apartment Available For Sale In North Manikdi,3.0,3.0,3,vacant,1275.0,dhaka,"৳5,737,500","Manikdi, Cantonment",5737500.0
"Ready 875 SQ FT flat is now for sale in Mirpur, Block E",2.0,2.0,6,vacant,875.0,dhaka,"৳4,000,000","Section 1, Mirpur",4000000.0
Offering you 1300 SQ FT flat for sale in Mirpur near to Paikpara Jame Masjid,3.0,3.0,4,vacant,1300.0,dhaka,"৳6,500,000","Middle Paikpara, Mirpur",6500000.0
Offering You A 1300 Sq Ft Flat For Sale In Middle Paikpara Near Paikpara Central Jame Masjid,3.0,3.0,7,vacant,1300.0,dhaka,"৳6,500,000","Middle Paikpara, Mirpur",6500000.0
Apartment Of 1180 Sq Ft Is For Sale In Bashundhara R-a Near Nsu,3.0,3.0,1,vacant,1180.0,dhaka,"৳7,500,000","Block I, Bashundhara R-A",7500000.0
Flat For Sale In Mohammadpur Near Mohammadpur Girls&#039; High School,2.0,2.0,8,vacant,956.0,dhaka,"৳5,800,000","Nurjahan Road, Mohammadpur",5800000.0
"Select This 1250 Square Feet Apartment Up For Sale In Mohammadpur, Shekhertek",3.0,2.0,3,vacant,1250.0,dhaka,"৳7,500,000","Shekhertek, Mohammadpur",7500000.0
"Buy This Nice Flat Of 900 Sq Ft, Which Is Located At West Monipur Near Jame Mosjid",3.0,2.0,1,vacant,900.0,dhaka,"৳4,320,000","West Monipur, Mirpur",4320000.0
This Very New Nice Flat Of 925 Sq Ft Is Up For Sale In West Monipur,3.0,2.0,2,vacant,925.0,dhaka,"৳4,440,000","West Monipur, Mirpur",4440000.0
"900 Square Feet Apartment Is For Sale At Kamal Sharani, West Monipur",3.0,2.0,3,vacant,900.0,dhaka,"৳4,320,000","West Monipur, Mirpur",4320000.0
1800 SQ FT flat is now for sale in Pirerbag,4.0,4.0,9,vacant,1800.0,dhaka,"৳9,000,000","Pirerbag, Mirpur",9000000.0
"Be Content With Your Amazing Home Taste Through Buying This 1225 Sq Ft Flat In Mirpur, West Shewrapara",3.0,2.0,3,vacant,1225.0,dhaka,"৳5,512,500","West Shewrapara, Mirpur",5512500.0
"This Very Nice Flat Of 1100 Sq Ft Is Up For Sale In West Monipur, Mirpur",3.0,2.0,4,vacant,1100.0,dhaka,"৳4,620,000","West Monipur, Mirpur",4620000.0
"Buy This Nice Flat Of 1100 Sq Ft, Which Is Located At Gedu Matabor Road, Ibrahimpur",3.0,2.0,6,vacant,1100.0,dhaka,"৳5,800,000","North Ibrahimpur, Ibrahimpur",5800000.0
"See This 1300 Sq Ft Apartment For Sale Is All Set For You In Taltola, Agargaon",2.0,2.0,2,vacant,1300.0,dhaka,"৳6,500,000","Taltola, Agargaon",6500000.0
A Finely Built 800 Sq Ft Flat Is Up For sale In North Pirerbag,3.0,2.0,6,vacant,800.0,dhaka,"৳5,300,000","Pirerbag, Mirpur",5300000.0
"Convenient Flat Is Up for Sale In Mohammadpur, Near To BRAC Bank Limited | ATM Booth",2.0,2.0,5,vacant,830.0,dhaka,"৳4,700,000","PC Culture Housing, Mohammadpur",4700000.0
"1200 Sq Ft Residential Flat Is Being Constructed For Sale In Mirpur, Ahmed Nagar",3.0,3.0,4,vacant,1200.0,dhaka,"৳7,500,000","Ahmed Nagar, Mirpur",7500000.0
"See This 1465 Sq Ft Apartment For Sale Is All Set For You In S P Road, Paikpara",3.0,3.0,6,vacant,1465.0,dhaka,"৳8,000,000","Paikpara, Mirpur",8000000.0
"Looking for a nice home to sale in Mirpur, check this one which is 1050 SQ FT",3.0,2.0,2,vacant,1050.0,dhaka,"৳6,000,000","Pallabi, Mirpur",6000000.0
Lovely Apartment Covering An Area Of 1260 Sq Ft Is Up For Sale In Uttara Near Uttara South Lake,3.0,3.0,1,vacant,1260.0,dhaka,"৳7,000,000","Sector 5, Uttara",7000000.0
